City ID,base,clouds.all,cod,coord.lat,coord.lon,dt,id,main.feels_like,main.grnd_level,main.humidity,main.pressure,main.sea_level,main.temp,main.temp_max,main.temp_min,name,rain.1h,rain.3h,snow.1h,snow.3h,sys.country,sys.id,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,wind.speed
379,model,100,200,69.38,178.42,1580090101,2123814,-23.06,1028.0,93,1028,1028.0,-8.73,-8.73,-8.73,Leningradskiy,,,,,RU,,1580076881,1580091763,,43200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",118.0,,13.62
380,stations,75,200,26.18,127.76,1580090387,1855342,62.06,,73,1009,,70.57,71.6,69.8,Nishihara,,,,,JP,8138.0,1580076942,1580116023,1.0,32400,16093.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",270.0,27.51,21.92
381,model,7,200,-25.4,-70.48,1580089877,3870243,70.34,968.0,81,1015,1015.0,67.32,67.32,67.32,Taltal,,,,,CL,,1580033585,1580081723,,-10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",231.0,,1.32
382,model,99,200,60.14,-45.24,1580089821,3421765,6.33,985.0,74,990,990.0,22.75,22.75,22.75,Nanortalik,,,,,GL,,1580038214,1580064977,,-10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",297.0,,19.62
383,model,83,200,-1.57,9.26,1580090043,2396853,86.76,1007.0,94,1011,1011.0,76.77,76.77,76.77,Omboue,,,,,GA,,1580102990,1580146864,,3600,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",147.0,,0.56
384,model,87,200,-4.58,-81.27,1580090317,3691582,77.32,1015.0,92,1015,1015.0,74.39,74.39,74.39,Talara,,,,,PE,,1580038058,1580082430,,-18000,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",192.0,,10.11
385,model,100,200,-1.2,-46.02,1580090387,3402648,85.01,1012.0,80,1012,1012.0,81.99,81.99,81.99,Carutapera,,4.06,,,BR,,1580029874,1580073691,,-10800,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",43.0,,13.2
386,stations,90,200,34.58,-83.33,1580090388,4226722,36.64,,57,1015,,42.6,50.0,35.01,Toccoa,,,,,US,6049.0,1580042131,1580079346,1.0,-18000,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",250.0,,3.36
387,model,0,200,-43.3,-65.1,1580090084,3839307,52.97,1017.0,57,1018,1018.0,59.9,59.9,59.9,Rawson,,,,,AR,,1580029965,1580082760,,-10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",42.0,,10.09
388,stations,90,200,33.19,-82.53,1580090050,4231997,44.55,,53,1017,,51.01,53.6,48.99,Avera,,,,,US,4414.0,1580041775,1580079318,1.0,-18000,16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",300.0,,5.82
389,stations,6,200,-45.87,170.5,1580089788,2191562,63.57,,66,995,,68.0,68.0,68.0,Dunedin,,,,,NZ,2031989.0,1580059394,1580113052,3.0,46800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",122.0,,11.3
390,model,100,200,-12.07,134.27,1580090388,2067089,86.65,1007.0,81,1007,1007.0,85.32,85.32,85.32,Maningrida,,,,,AU,,1580072109,1580117731,,34200,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",305.0,,20.2
391,model,100,200,60.05,69.9,1580090388,1506268,8.1,981.0,95,989,989.0,17.06,17.06,17.06,Gornopravdinsk,,,,0.5,RU,,1580096860,1580123882,,18000,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",76.0,,6.4
392,model,100,200,61.99,-49.67,1580089946,3421193,0.28,983.0,67,995,995.0,18.43,18.43,18.43,Paamiut,,,,,GL,,1580040042,1580065275,,-10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",344.0,,21.88
393,model,13,200,26.59,12.78,1580090388,2219235,47.5,957.0,16,1020,1020.0,57.51,57.51,57.51,Ubari,,,,,LY,,1580104572,1580143592,,7200,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",183.0,,7.7
394,stations,90,200,0.04,-51.07,1580090320,3396016,84.65,,100,1013,,77.0,77.0,77.0,Macapa,,,,,BR,8415.0,1580031187,1580074802,1.0,-10800,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",40.0,,6.93
395,stations,0,200,17.02,54.09,1580089925,286621,48.11,,16,1020,,66.2,66.2,66.2,Salalah,,,,,OM,7562.0,1580093767,1580134565,1.0,14400,6000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",360.0,34.45,23.04
396,stations,20,200,-17.53,-149.33,1580090378,4033356,91.74,,66,1011,,87.4,87.8,87.01,Tiarei,,,,,PF,7318.0,1580053282,1580099880,1.0,-36000,10000.0,"[{'id': 521, 'main': 'Rain', 'description': 'shower rain', 'icon': '09d'}]",20.0,,10.29
397,model,97,200,3.78,72.97,1580090258,1337605,84.92,1013.0,76,1013,1013.0,80.65,80.65,80.65,Mahibadhoo,,0.19,,,MV,,1580088130,1580131138,,18000,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",74.0,,8.19
398,stations,0,200,5.67,-0.02,1580090121,2294700,88.61,,78,1012,,80.6,80.6,80.6,Tema,,,,,GH,1126.0,1580105802,1580148506,1.0,0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10.0,,2.24
399,model,100,200,-11.1,-77.61,1580090389,3939761,73.74,964.0,82,1019,1019.0,71.08,71.08,71.08,Hualmay,,,,,PE,,1580036632,1580082099,,-18000,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",201.0,,4.88
400,model,100,200,-2.76,-42.27,1580090389,3385899,84.33,1004.0,95,1011,1011.0,76.46,76.46,76.46,Tutoia,,3.94,,,BR,,1580028846,1580072919,,-10800,,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",70.0,,4.32
401,model,94,200,-3.4,38.36,1580090389,178073,74.14,925.0,95,1013,1013.0,68.59,68.59,68.59,Wundanyi,,,,,KE,,1580095856,1580140028,,10800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",40.0,,1.21
402,model,100,200,-9.66,120.26,1580090390,1622318,92.79,1010.0,73,1010,1010.0,83.91,83.91,83.91,Waingapu,,,,,ID,,1580075677,1580120888,,28800,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",81.0,,1.9
403,model,3,200,37.51,34.05,1580090390,315498,25.38,891.0,46,1025,1025.0,32.0,32.0,32.0,Heraclea,,,,,TR,,1580100699,1580137253,,10800,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",77.0,,1.92
404,model,0,200,20.15,92.9,1580089938,1295765,57.29,1013.0,53,1014,1014.0,64.62,64.62,64.62,Sittwe,,,,,MM,,1580084733,1580124967,,23400,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",350.0,,11.81
405,model,100,200,42.87,73.18,1580090390,1520969,15.91,941.0,81,1024,1024.0,23.36,23.36,23.36,Merke,,,,,KZ,,1580092063,1580127104,,21600,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",121.0,,4.12
406,model,100,200,-10.71,22.22,1580090390,876177,68.88,895.0,98,1013,1013.0,65.28,65.28,65.28,Luau,,0.81,,,AO,,1580099125,1580144507,,3600,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",211.0,,2.77
407,stations,100,200,-13.85,136.42,1580090051,2079582,94.28,,70,1006,,89.6,89.6,89.6,Alyangula,,,,,AU,9527.0,1580071438,1580117369,1.0,34200,10000.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",310.0,,13.87
408,stations,1,200,38.55,-122.9,1580090390,5397100,49.3,,87,1025,,51.64,57.2,46.0,Sonoma,,,,,US,5152.0,1580052127,1580088347,1.0,-28800,14484.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",292.0,,3.31
409,stations,0,200,38.12,-3.08,1580090390,2509606,39.04,,80,1028,,43.0,43.0,43.0,Villacarrillo,,,,,ES,2031551.0,1580109686,1580146092,3.0,3600,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",113.0,,2.19
410,model,24,200,14.72,-86.83,1580090391,3609152,61.07,913.0,69,1017,1017.0,62.6,62.6,62.6,Guayape,,,,,HN,,1580040991,1580082166,,-21600,,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",86.0,,4.0
411,model,100,200,58.52,125.52,1580090391,2020871,1.0,915.0,90,1020,1020.0,11.98,11.98,11.98,Lebedinyy,,,,0.31,RU,,1580082987,1580111053,,32400,,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",233.0,,9.19
